id_ingreso;nombre_ingreso;nombre_planta;producto;zona;tipo_ingreso;almacen_verano;almacen_invierno;cosecha_compra;mes_planificado;volumen
ing5;Cosecha Zona constitución;Nueva_aldea;EUGL;constitucion;directo_planta;N_A;N_A;cosecha;12;1817,4
ing5;Cosecha Zona constitución;Nueva_aldea;EUGL;constitucion;directo_planta;N_A;N_A;cosecha;13;1817,4
ing5;Cosecha Zona constitución;Nueva_aldea;EUGL;constitucion;directo_planta;N_A;N_A;cosecha;14;10434,133333333335
ing5;Cosecha Zona constitución;Nueva_aldea;EUGL;constitucion;directo_planta;N_A;N_A;cosecha;15;10434,133333333335
ing5;Cosecha Zona constitución;Nueva_aldea;EUGL;constitucion;directo_planta;N_A;N_A;cosecha;16;10434,133333333335
ing6;Cosecha Zona chillán;Nueva_aldea;EUGL;chillan;libre;alm4;alm5;cosecha;1;36960,0
ing6;Cosecha Zona chillán;Nueva_aldea;EUGL;chillan;libre;alm4;alm5;cosecha;2;40800,0
ing6;Cosecha Zona chillán;Nueva_aldea;EUGL;chillan;libre;alm4;alm5;cosecha;3;40800,0
ing6;Cosecha Zona chillán;Nueva_aldea;EUGL;chillan;libre;alm4;alm5;cosecha;4;40800,0
ing6;Cosecha Zona chillán;Nueva_aldea;EUGL;chillan;libre;alm4;alm5;cosecha;5;18866,233333333337
ing6;Cosecha Zona chillán;Nueva_aldea;EUGL;chillan;libre;alm4;alm5;cosecha;6;18866,233333333337
ing6;Cosecha Zona chillán;Nueva_aldea;EUGL;chillan;libre;alm4;alm5;cosecha;7;18866,233333333337
ing6;Cosecha Zona chillán;Nueva_aldea;EUGL;chillan;libre;alm4;alm5;cosecha;8;1256,0666666666666
ing6;Cosecha Zona chillán;Nueva_aldea;EUGL;chillan;libre;alm4;alm5;cosecha;9;1256,0666666666666
ing6;Cosecha Zona chillán;Nueva_aldea;EUGL;chillan;libre;alm4;alm5;cosecha;10;1256,0666666666666
ing6;Cosecha Zona chillán;Nueva_aldea;EUGL;chillan;libre;alm4;alm5;cosecha;11;6781,666666666666
ing6;Cosecha Zona chillán;Nueva_aldea;EUGL;chillan;libre;alm4;alm5;cosecha;12;6781,666666666666
ing6;Cosecha Zona chillán;Nueva_aldea;EUGL;chillan;libre;alm4;alm5;cosecha;13;6781,666666666666
ing6;Cosecha Zona chillán;Nueva_aldea;EUGL;chillan;libre;alm4;alm5;cosecha;14;5941,9333333333325
ing6;Cosecha Zona chillán;Nueva_aldea;EUGL;chillan;libre;alm4;alm5;cosecha;15;5941,9333333333325
ing6;Cosecha Zona chillán;Nueva_aldea;EUGL;chillan;libre;alm4;alm5;cosecha;16;5941,9333333333325
ing7;Cosecha Zona Arauco;Nueva_aldea;EUGL;arauco;directo_planta;N_A;N_A;cosecha;1;0,0
ing7;Cosecha Zona Arauco;Nueva_aldea;EUGL;arauco;directo_planta;N_A;N_A;cosecha;2;0,0
ing7;Cosecha Zona Arauco;Nueva_aldea;EUGL;arauco;directo_planta;N_A;N_A;cosecha;3;0,0
ing7;Cosecha Zona Arauco;Nueva_aldea;EUGL;arauco;directo_planta;N_A;N_A;cosecha;4;0,0
ing7;Cosecha Zona Arauco;Nueva_aldea;EUGL;arauco;directo_planta;N_A;N_A;cosecha;5;0,0
ing7;Cosecha Zona Arauco;Nueva_aldea;EUGL;arauco;directo_planta;N_A;N_A;cosecha;6;0,0
ing7;Cosecha Zona Arauco;Nueva_aldea;EUGL;arauco;directo_planta;N_A;N_A;cosecha;7;0,0
ing7;Cosecha Zona Arauco;Nueva_aldea;EUGL;arauco;directo_planta;N_A;N_A;cosecha;8;0,0
ing7;Cosecha Zona Arauco;Nueva_aldea;EUGL;arauco;directo_planta;N_A;N_A;cosecha;9;0,0
ing7;Cosecha Zona Arauco;Nueva_aldea;EUGL;arauco;directo_planta;N_A;N_A;cosecha;10;0,0
ing7;Cosecha Zona Arauco;Nueva_aldea;EUGL;arauco;directo_planta;N_A;N_A;cosecha;11;0,0
ing7;Cosecha Zona Arauco;Nueva_aldea;EUGL;arauco;directo_planta;N_A;N_A;cosecha;12;0,0
ing7;Cosecha Zona Arauco;Nueva_aldea;EUGL;arauco;directo_planta;N_A;N_A;cosecha;13;0,0
ing7;Cosecha Zona Arauco;Nueva_aldea;EUGL;arauco;directo_planta;N_A;N_A;cosecha;14;0,0
ing7;Cosecha Zona Arauco;Nueva_aldea;EUGL;arauco;directo_planta;N_A;N_A;cosecha;15;0,0
ing7;Cosecha Zona Arauco;Nueva_aldea;EUGL;arauco;directo_planta;N_A;N_A;cosecha;16;0,0
ing8;Cosecha Zona Valdivia;Nueva_aldea;EUGL;valdivia;directo_planta;N_A;N_A;cosecha;1;0,0
ing8;Cosecha Zona Valdivia;Nueva_aldea;EUGL;valdivia;directo_planta;N_A;N_A;cosecha;2;0,0
ing8;Cosecha Zona Valdivia;Nueva_aldea;EUGL;valdivia;directo_planta;N_A;N_A;cosecha;3;0,0
ing8;Cosecha Zona Valdivia;Nueva_aldea;EUGL;valdivia;directo_planta;N_A;N_A;cosecha;4;0,0
ing8;Cosecha Zona Valdivia;Nueva_aldea;EUGL;valdivia;directo_planta;N_A;N_A;cosecha;5;0,0
ing8;Cosecha Zona Valdivia;Nueva_aldea;EUGL;valdivia;directo_planta;N_A;N_A;cosecha;6;0,0
ing8;Cosecha Zona Valdivia;Nueva_aldea;EUGL;valdivia;directo_planta;N_A;N_A;cosecha;7;0,0
ing8;Cosecha Zona Valdivia;Nueva_aldea;EUGL;valdivia;directo_planta;N_A;N_A;cosecha;8;0,0
ing8;Cosecha Zona Valdivia;Nueva_aldea;EUGL;valdivia;directo_planta;N_A;N_A;cosecha;9;0,0
ing8;Cosecha Zona Valdivia;Nueva_aldea;EUGL;valdivia;directo_planta;N_A;N_A;cosecha;10;0,0
ing8;Cosecha Zona Valdivia;Nueva_aldea;EUGL;valdivia;directo_planta;N_A;N_A;cosecha;11;0,0
ing8;Cosecha Zona Valdivia;Nueva_aldea;EUGL;valdivia;directo_planta;N_A;N_A;cosecha;12;0,0
ing8;Cosecha Zona Valdivia;Nueva_aldea;EUGL;valdivia;directo_planta;N_A;N_A;cosecha;13;0,0
ing8;Cosecha Zona Valdivia;Nueva_aldea;EUGL;valdivia;directo_planta;N_A;N_A;cosecha;14;0,0
